id,team1,team2,venue,start_time
WT20-2026-01,England,Sri Lanka,"Edgbaston, Birmingham",2026-06-12T17:30:00Z
WT20-2026-02,Scotland,Ireland,"Old Trafford Cricket Ground, Manchester",2026-06-13T09:30:00Z
WT20-2026-03,Australia,South Africa,"Old Trafford Cricket Ground, Manchester",2026-06-13T13:30:00Z
WT20-2026-04,West Indies,New Zealand,"Hampshire Bowl, Southampton",2026-06-13T17:30:00Z
WT20-2026-05,Bangladesh,Netherlands,"Edgbaston, Birmingham",2026-06-14T09:30:00Z
WT20-2026-06,India,Pakistan,"Edgbaston, Birmingham",2026-06-14T13:30:00Z
WT20-2026-07,New Zealand,Sri Lanka,"Hampshire Bowl, Southampton",2026-06-16T13:30:00Z
WT20-2026-08,England,Ireland,"Hampshire Bowl, Southampton",2026-06-16T17:30:00Z
WT20-2026-09,Australia,Bangladesh,"Headingley, Leeds",2026-06-17T09:30:00Z
WT20-2026-10,India,Netherlands,"Headingley, Leeds",2026-06-17T13:30:00Z
WT20-2026-11,South Africa,Pakistan,"Edgbaston, Birmingham",2026-06-17T17:30:00Z
WT20-2026-12,West Indies,Scotland,"Headingley, Leeds",2026-06-18T17:30:00Z
WT20-2026-13,New Zealand,Ireland,"Hampshire Bowl, Southampton",2026-06-19T17:30:00Z
WT20-2026-14,Australia,Netherlands,"Hampshire Bowl, Southampton",2026-06-20T09:30:00Z
WT20-2026-15,Pakistan,Bangladesh,"Hampshire Bowl, Southampton",2026-06-20T13:30:00Z
WT20-2026-16,England,Scotland,"Headingley, Leeds",2026-06-20T17:30:00Z
WT20-2026-17,West Indies,Sri Lanka,"Bristol County Ground, Bristol",2026-06-21T09:30:00Z
WT20-2026-18,South Africa,India,"Old Trafford Cricket Ground, Manchester",2026-06-21T13:30:00Z
WT20-2026-19,New Zealand,Scotland,"Bristol County Ground, Bristol",2026-06-23T09:30:00Z
WT20-2026-20,Sri Lanka,Ireland,"Bristol County Ground, Bristol",2026-06-23T13:30:00Z
WT20-2026-21,Australia,Pakistan,"Headingley, Leeds",2026-06-23T17:30:00Z
WT20-2026-22,England,West Indies,"Lord's Cricket Ground, London",2026-06-24T17:30:00Z
WT20-2026-23,India,Bangladesh,"Old Trafford Cricket Ground, Manchester",2026-06-25T13:30:00Z
WT20-2026-24,South Africa,Netherlands,"Bristol County Ground, Bristol",2026-06-25T17:30:00Z
WT20-2026-25,Sri Lanka,Scotland,"Old Trafford Cricket Ground, Manchester",2026-06-26T17:30:00Z
WT20-2026-26,Pakistan,Netherlands,"Bristol County Ground, Bristol",2026-06-27T09:30:00Z
WT20-2026-27,West Indies,Ireland,"Bristol County Ground, Bristol",2026-06-27T13:30:00Z
WT20-2026-28,England,New Zealand,"The Oval, London",2026-06-27T17:30:00Z
WT20-2026-29,South Africa,Bangladesh,"Lord's Cricket Ground, London",2026-06-28T09:30:00Z
WT20-2026-30,Australia,India,"Lord's Cricket Ground, London",2026-06-28T13:30:00Z
WT20-2026-31,T.B.C.,T.B.C.,"The Oval, London",2026-06-30T13:30:00Z
WT20-2026-32,T.B.C.,T.B.C.,"The Oval, London",2026-07-02T17:30:00Z
WT20-2026-33,T.B.C.,T.B.C.,"Lord's Cricket Ground, London",2026-07-05T14:30:00Z
